continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status
1,2,0,0,14513,2007,4,592.2029,0,1,1
1,3,1,0,2412,2002,2,83425.65,3,1,0
1,0,0,1,44444,2008,4,122996.86,3,1,1
1,0,0,0,98,1897,4,83434.03,3,1,1
0,3,1,0,1082,2005,3,149907.39,3,1,0
1,3,1,0,2339,2012,3,78252.14,3,1,0
1,0,0,0,4985,1994,3,53635.39,3,1,0
3,0,1,0,3035,1924,4,418.2298,0,1,1
1,0,0,0,4810,2012,1,74362.19,3,1,0
2,1,1,0,2251,1995,3,67514.76,3,1,0
1,3,0,0,2465,2004,1,83588.56,3,1,0
1,2,1,0,4069,2005,2,70813.09,3,1,1
1,0,1,0,123876,1963,2,28663.05,3,1,0
1,0,1,0,1652,2007,1,107196.03,3,1,0
1,3,1,1,15756,2006,3,220081.73,3,1,0
1,2,1,0,4897,1987,4,74108.02,3,1,1
2,3,1,0,76638,1991,1,3706.79,3,1,0
1,3,1,0,2747,2001,4,16132.61,3,1,0
0,3,1,0,4743,2004,1,150441.13,3,1,0
1,1,0,0,843,1972,1,79948.12,3,1,0
1,3,0,0,880,2008,4,71128.98,3,1,1
3,3,1,0,1706,2013,1,137694.98,3,0,0
1,3,1,0,2878,1968,4,45642.39,3,1,0
3,2,0,0,1517,1884,1,90108.38,3,0,0
2,1,1,0,241,1981,1,71286.04,3,1,0
3,3,0,0,1100,1997,1,99489.65,3,1,0
1,0,1,0,756,1995,3,86332.95,3,1,0
1,2,1,1,2889,2005,3,103029.33,3,1,0
1,3,1,0,18,2004,2,40925.86,3,1,0
1,0,1,0,758,2009,2,189190.48,3,1,0
1,3,1,0,1408,1998,1,79594.12,3,0,0
1,1,1,0,995,1880,3,135866.13,3,0,0
1,0,0,0,2415,1963,1,72077.57,3,0,0
1,2,0,0,2395,2000,3,81921.18,3,1,0
1,3,0,0,1809,2010,3,225569.73,3,0,0
1,2,1,0,5512,2001,2,92421.92,3,1,1
2,2,1,0,2520,1981,4,2490.12,3,1,1
2,3,1,1,44,1965,3,110817.26,3,1,0
1,0,1,1,2206,1909,2,50960.01,3,1,0
1,3,0,0,3729,2007,1,125336.9,3,1,0
1,0,1,0,3723,2011,4,39633.32,3,1,0
1,3,1,0,1209,1989,2,156326.33,3,0,0
2,1,1,0,19770,2005,4,43630.58,3,1,0
3,3,1,0,2582,1989,3,54614.42,3,1,0
1,2,1,0,5407,1998,4,28989.87,3,1,1
2,0,0,1,2092,1998,3,22924.91,3,1,0
1,0,1,0,2623,2008,3,61567.75,3,1,0
1,2,1,0,226,1991,1,156251.17,3,1,0
1,0,1,0,2405,1933,3,86022.02,3,1,0
1,1,0,1,2171,1960,2,49565.37,3,1,1
1,0,0,0,746,1991,1,66191.41,3,1,0
1,3,1,0,3129,2003,1,95623.2,3,0,0
1,0,0,0,1647,1998,1,115014.05,3,1,0
1,2,1,0,2438,1976,1,35018.04,3,1,0
1,3,1,0,11733,1995,2,230.8072,0,1,0
1,3,1,0,2368,1998,2,113799.64,3,1,0
2,0,1,1,779,1994,4,85854.09,3,1,0
1,0,1,0,2825,1996,2,14174.04,3,1,0
2,0,0,0,3510,2007,4,47176.84,3,1,0
1,1,0,0,2624,2012,1,4949.28,3,1,0
1,3,0,1,5340,2010,4,67410.59,3,1,1
2,1,1,1,2311,1994,1,58791.58,3,1,0
1,2,0,0,5110,2004,4,103.2216,0,1,1
2,0,1,0,1316,1995,3,62591.57,3,1,0
1,3,0,0,100,2001,2,102919.59,3,1,1
1,3,1,0,2021,2007,1,123468.56,3,1,0
3,0,0,0,80,1968,4,82324.64,3,0,1
2,1,1,0,2070,1847,4,5319.49,3,1,0
1,0,1,1,2654,2013,1,153019.94,3,1,0
1,3,1,0,292,2005,3,38059.89,3,1,0
1,2,1,0,1320,2001,2,230.327,0,1,1
1,2,1,0,1722,2007,3,61521.92,3,1,0
2,0,1,0,3339,1935,2,121316.5,3,1,1
1,3,1,0,452,1890,3,122540.55,3,1,0
0,3,1,0,3705,2001,3,47170.76,3,1,0
3,0,0,0,85,1999,2,330.3743,0,1,1
2,0,1,0,2423,1838,4,2927.34,3,1,0
1,0,1,0,1274,1999,3,107781.48,3,1,0
3,3,0,0,1549,2001,3,590.0203,0,1,0
1,2,0,1,1062,1998,4,194176.83,3,1,1
1,0,1,0,32619,1947,3,102073.81,3,1,0
1,3,1,0,4036,2001,3,113882.38,3,1,0
1,2,1,0,39,2000,4,70778.82,3,1,1
1,0,1,0,2359,2007,2,84125.48,3,1,0
1,3,1,1,1023,2002,3,174014.59,3,1,0
1,3,1,0,2480,1981,2,34213.17,3,1,0
1,2,0,0,1255,1989,2,79813.05,3,0,1
1,2,1,0,4455,1998,4,113327.34,3,1,1
1,0,0,0,2543,1939,2,78893.64,3,1,1
1,0,1,0,1359,2008,4,140290.16,3,1,0
1,2,1,1,2324,2006,2,111926.01,3,1,1
3,0,0,0,4103,2004,2,125880.21,3,1,1
